"unique","milk.1","milk.2","milk.3","milk.4","milk.5","milk.6","milk.7","milk.8","milk.9","milk.10","dim.1","dim.2","dim.3","dim.4","dim.5","dim.6","dim.7","dim.8","dim.9","dim.10"
"K1-P1055",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K123-P360",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K118-P93",46.5,41.8,36.2,40.6,38.2,39.4,31.9,NA,NA,NA,74,120,151,180,211,249,294,NA,NA,NA
"K124-P370",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K126-P988",24.6,39.1,29.8,36.1,30.4,30.7,24.8,24.2,24.2,20.3,14,43,71,105,140,162,203,230,259,287
"K105-P84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K12-P1030",31.3,29.8,29.3,25,NA,NA,NA,NA,NA,NA,86,162,198,244,NA,NA,NA,NA,NA,NA
"K1-P965",28.8,35,35.6,34.4,32.8,37.6,29.6,23.8,23.8,NA,13,54,97,136,186,234,269,293,319,NA
"K104-P397",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K12-P148",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K12-P534",29.1,22.3,15.1,12.3,NA,NA,NA,NA,NA,NA,62,139,215,251,NA,NA,NA,NA,NA,NA
"K111-P158",23.6,25.4,23.2,15,19,14,NA,NA,NA,NA,20,53,82,117,139,167,NA,NA,NA,NA
"K1-P1037",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K125-P116",31.9,49.3,49.1,43.4,39.4,36.6,28.1,25.3,23.2,NA,14,48,78,113,140,159,204,226,260,NA
"K125-P182",35.5,36.8,36.5,32.3,32.7,35,30.8,30,21.3,NA,32,66,96,131,158,177,222,244,278,NA
"K12-P783",25.3,26,26.5,24.6,12.9,NA,NA,NA,NA,NA,39,115,151,197,284,NA,NA,NA,NA,NA
"K12-P306",28,23.5,NA,NA,NA,NA,NA,NA,NA,NA,129,203,NA,NA,NA,NA,NA,NA,NA,NA
"K12-P577",34.5,34.6,23.7,19.5,NA,NA,NA,NA,NA,NA,87,161,230,307,NA,NA,NA,NA,NA,NA
"K100-P406",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K130-P637",25.1,37,39,37.6,35.3,32.8,28.9,30.2,24.1,20,14,41,82,113,155,183,209,250,299,342
"K130-P671",35.9,41.2,35.6,36.1,36.8,33.2,28.9,26.7,NA,NA,31,73,109,136,177,208,250,278,NA,NA
"K100-P284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K112-P192",27.7,22.5,31.7,27.9,31.7,24.2,23.3,23.8,22,26,27,54,82,117,146,182,209,237,272,298
"K108-P58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K110-P670",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K121-P42",48.7,51.7,47.8,37.2,40.5,37.6,37.2,26.2,17.5,NA,28,51,95,126,158,187,218,247,271,NA
"K116-P113",26,27.2,21.2,22.7,21.6,19.7,22.5,16,14.6,NA,24,55,98,130,158,189,225,260,280,NA
"K120-P44",22,26.4,22.4,26.2,21.8,25.4,18.8,NA,NA,NA,1,63,106,162,197,230,259,NA,NA,NA
"K118-P140",26.3,42.6,33.3,33.2,41.8,39.4,33.8,36.6,32.4,38.2,6,54,80,114,153,188,234,265,294,325
"K101-P260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K125-P146",47.3,55.9,45.4,52.3,41.2,32.7,33.8,31.1,27.6,20.5,31,50,95,117,151,185,214,248,273,302
"K114-P49",36.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K12-P259",47,37.7,30,21.9,NA,NA,NA,NA,NA,NA,87,161,230,307,NA,NA,NA,NA,NA,NA
"K113-P527",27,28.5,16,22.3,19.4,16,14.3,15.5,11.3,NA,6,69,104,131,196,223,252,279,314,NA
"K102-P287",29.2,20.5,28.6,21.2,13,19.3,15,9.4,16.5,16,48,83,110,140,173,201,230,266,293,321
"K12-P731",37.9,30.9,24.6,23.2,17.3,NA,NA,NA,NA,NA,48,125,201,237,283,NA,NA,NA,NA,NA
"K121-P96",29.6,37.1,34,37.1,35.3,37.1,32.9,34.8,30.2,29,10,36,59,87,128,150,179,217,241,272
"K100-P517",40.9,35.1,36.1,30.6,28.2,31.3,29.9,26.2,18.5,12.2,28,61,89,124,152,180,215,242,271,306
"K126-P990",30.2,28.1,NA,NA,NA,NA,NA,NA,NA,NA,29,57,NA,NA,NA,NA,NA,NA,NA,NA
"K102-P212",16.2,26,24.4,14.4,15.3,14.1,14.1,12.9,11.8,9.4,6,33,63,96,124,153,189,216,244,273
"K100-P535",24.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K128-P111",15.8,16.3,3.8,21.8,14.6,17.2,21.4,NA,NA,NA,5,47,73,134,165,198,228,NA,NA,NA
"K117-P101",27.5,33,33,33.2,30.8,25,22,24,23,21.5,6,35,70,97,118,160,188,216,251,280
"K101-P204",12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,339,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K12-P1032",45.1,35.5,30.1,29.5,18.6,NA,NA,NA,NA,NA,88,164,200,246,333,NA,NA,NA,NA,NA
"K105-P91",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K126-P823",44.6,41.9,39.9,35.5,29.9,29.8,19,13,NA,NA,18,46,81,109,144,172,207,237,NA,NA
"K110-P630",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K104-P427",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K11-P163",29.4,28.2,26.7,24,20.3,23.2,19.4,20.1,17.5,19,30,69,97,125,153,181,209,238,266,293
"K130-P663",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K114-P15",NA,27.6,46.3,42.6,32.3,33.3,33.1,34.5,31.9,28.2,3,32,67,95,130,158,186,221,242,277
"K12-P313",51.9,35.1,24.4,22.8,19.1,14.6,NA,NA,NA,NA,47,116,193,269,305,351,NA,NA,NA,NA
"K119-P74",30.5,35,41.6,40.6,28.6,30.9,31.3,23.8,21.4,19.3,10,44,86,128,158,199,242,290,319,354
"K110-P607",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K130-P657",40.6,38.8,39.8,38,33.8,28.3,25.4,17.3,NA,NA,32,68,107,137,186,213,255,291,NA,NA
"K128-P261",44.7,41.4,34.5,38.6,32.5,40.1,10.2,24.8,13.9,16.8,11,37,67,102,148,165,193,214,256,282
"K120-P36",18,9.4,NA,NA,NA,NA,NA,NA,NA,NA,232,266,NA,NA,NA,NA,NA,NA,NA,NA
"K100-P455",31.7,49.1,38,39.8,43.2,39.4,39.5,40.1,40.5,36.4,9,37,72,100,128,163,190,219,254,285
"K103-P273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K105-P28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K121-P49",44.9,45.8,35.5,35.5,32.9,32.1,32,23.8,24.6,23.6,22,44,73,111,135,166,189,233,264,296
"K1-P931",47.6,45.2,43.8,29.6,38,37,35.8,27.2,27.2,24.1,20,55,79,105,147,175,205,237,267,301
"K111-P170",23.6,20.6,22.8,19.1,19.4,17.4,19.6,18,17.2,18.9,24,53,86,115,150,172,200,242,268,296
"K126-P1013",35.3,41.3,44.5,33.6,42,33.1,32.8,27.2,31.6,NA,15,44,72,107,135,170,198,233,263,NA
"K115-P68",34,38.4,38,36.6,33,32,24.6,22.6,21,12,18,41,69,104,132,160,195,223,250,278
"K126-P993",NA,40.3,42.8,37.1,38.9,29,34.6,35.3,33.3,29,3,31,65,100,122,163,190,219,247,282
"K129-P282",27,24,NA,NA,NA,NA,NA,NA,NA,NA,156,278,NA,NA,NA,NA,NA,NA,NA,NA
"K112-P319",34.9,25.6,19.9,26.4,27.1,23.7,20.7,18.1,13.4,6.9,27,62,89,117,152,181,217,244,272,307
"K118-P65",33.7,33.2,32.5,31.5,29.1,27.6,29.6,25.6,20.7,NA,21,56,85,134,164,212,238,272,311,NA
"K12-P1009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K125-P123",39.2,50.2,60.7,51.7,52.9,52.4,46.9,42.2,45.5,45.3,5,32,51,96,118,152,186,215,249,274
"K12-P854",36.9,32,20.6,15.4,NA,NA,NA,NA,NA,NA,97,171,240,317,NA,NA,NA,NA,NA,NA
"K126-P668",40.3,57.7,NA,NA,NA,NA,NA,NA,NA,NA,21,55,NA,NA,NA,NA,NA,NA,NA,NA
"K118-P100",53.6,53.5,44.7,46.5,38.6,41.4,31.3,26,21.1,NA,42,77,106,155,185,233,259,293,332,NA
"K1-P969",45.8,43.2,43.6,34.6,39.2,36.4,32.2,29.4,32.6,31.2,29,77,112,136,162,204,232,262,294,324
"K113-P669",18.4,27,25.5,27.2,19.7,24.7,21,21.2,NA,NA,59,93,122,157,184,212,249,276,NA,NA
"K11-P144",16.9,28,23.8,19.1,20.9,19.4,15.9,12.4,11.6,11.9,24,51,85,113,144,183,211,239,267,295
"K115-P62",32.6,34,31,27.8,25.2,24,21,19,18.4,14.2,15,38,66,101,129,157,192,220,247,275
"K105-P99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K113-P676",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K110-P523",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K124-P326",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K106-P273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K106-P338",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K108-P6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K129-P260",33,28,17,NA,NA,NA,NA,NA,NA,NA,19,180,302,NA,NA,NA,NA,NA,NA,NA
"K102-P280",25.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K12-P548",45.1,33.2,24.1,14.2,NA,NA,NA,NA,NA,NA,117,191,260,337,NA,NA,NA,NA,NA,NA
"K101-P337",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K114-P115",30.3,32.5,32.3,30.1,26.6,28.8,30.3,25.2,23,NA,30,65,93,121,156,184,212,247,281,NA
"K130-P519",37.5,48.5,51.6,50,43.2,43.4,37.6,33.4,24.4,NA,22,58,85,126,157,199,227,253,294,NA
"K113-P578",10.8,30.6,23.8,24.6,22.3,20.8,16.2,16.7,13,14,6,40,69,104,131,159,196,223,252,279
"K110-P673",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K120-P33",39.4,37.6,29.6,34.8,30,21,NA,NA,NA,NA,38,94,129,162,191,215,NA,NA,NA,NA
"K12-P729",41.4,36.2,27.4,26.8,23.1,14.4,NA,NA,NA,NA,32,109,185,221,267,354,NA,NA,NA,NA
"K124-P318",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K128-P103",NA,42.2,39.4,40.5,33.3,31.5,25.1,26,26,26,4,39,85,102,130,151,193,219,280,311
"K116-P140",35.3,42,34.5,45.4,41,35.4,32.9,27.3,13.9,NA,14,51,80,105,142,176,210,237,281,NA
"K113-P638",22.7,26.8,25.1,30.5,24.4,29.5,22.5,18.7,22.5,NA,19,47,84,111,140,167,202,230,293,NA
"K118-P37",30.7,39.8,37.4,41.8,39.8,37,36.2,46.6,33.5,29.2,17,43,77,116,151,197,228,257,288,326
"K13-P530",29,30.3,26.1,26.3,24.4,25.2,23.5,21,11.8,NA,27,54,102,137,180,212,251,290,326,NA
"K123-P335",29.6,31.6,29.4,27.6,24,23.2,18.2,14.9,10.8,5.2,24,66,101,136,177,219,248,288,319,360
"K12-P1061",29.6,27.2,25.8,27,19.5,13.7,20.7,NA,NA,NA,42,118,154,200,287,344,406,NA,NA,NA
"K1-P1047",30.2,29.4,34.4,31.4,30.4,31.2,29.8,28.6,23.6,29,14,56,84,114,146,176,210,252,288,315
"K104-P264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K12-P760",37,34.4,26.9,20.7,19.5,NA,NA,NA,NA,NA,12,89,165,201,247,NA,NA,NA,NA,NA
"K123-P355",43.4,42.2,42,36.4,33,27.4,22.8,18.4,14.4,NA,11,42,83,117,160,195,235,284,319,NA
"K113-P366",14.4,9.9,NA,NA,NA,NA,NA,NA,NA,NA,19,48,NA,NA,NA,NA,NA,NA,NA,NA
"K116-P93",39.1,39.4,33.6,39.4,33.2,33.5,27.3,22.2,NA,NA,26,54,85,121,156,176,209,246,NA,NA
"K12-P425",40.2,29.2,NA,NA,NA,NA,NA,NA,NA,NA,86,160,NA,NA,NA,NA,NA,NA,NA,NA
"K126-P1033",23.9,43.2,37.2,40.6,34.7,42.8,34.9,35.7,NA,NA,7,34,63,91,126,154,189,217,NA,NA
"K101-P340",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K126-P1011",21,31.5,NA,NA,NA,NA,NA,NA,NA,NA,21,43,NA,NA,NA,NA,NA,NA,NA,NA
"K1-P819",54,49.4,43.4,45.4,31.8,22.6,19.6,13,8,NA,33,76,115,165,213,248,272,298,340,NA
"K106-P346",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K104-P333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K115-P21",33,30,26,25,NA,NA,NA,NA,NA,NA,27,56,91,119,NA,NA,NA,NA,NA,NA
"K123-P315",NA,34,34.8,29.6,20,12.6,12,7.2,NA,NA,4,39,80,122,151,191,222,263,NA,NA
"K113-P593",18.6,23.1,26.6,18,18.5,19.8,13,19.4,15.3,17.5,20,53,82,110,139,173,201,235,264,299
"K12-P1003",18.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,299,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K113-P567",29.8,41.3,24.8,36.3,28.5,31.7,25.4,29.5,23.2,19.7,12,40,77,104,133,160,195,223,257,286
"K12-P452",43.7,40,35.8,28.2,NA,NA,NA,NA,NA,NA,37,113,149,195,NA,NA,NA,NA,NA,NA
"K113-P409",23.8,28.6,27.5,20.3,21.9,15.1,22.3,22.3,21.6,16.6,12,39,67,104,131,160,187,222,250,284
"K115-P97",23,26,24,24,25,27.4,28,24.6,23.4,21.2,14,43,78,106,134,162,196,225,253,287
"K12-P475",43.8,37.3,NA,21.5,20,14.2,NA,NA,NA,NA,66,140,209,286,362,398,NA,NA,NA,NA
"K115-P95",21,25,24.2,25.2,22,23.4,22.2,20.6,24.8,20,15,43,72,107,135,163,191,225,254,282
"K126-P935",39.1,48.5,46.2,39.1,40.9,36,31.5,28.5,26,24.6,9,38,66,101,129,164,192,227,257,290
"K113-P555",46.3,48.6,35.6,39.2,22.1,30.6,30.2,36.8,30.1,30.1,23,52,109,143,171,205,234,269,296,324
"K118-P76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K111-P120",25,22.8,19.2,16.6,14.4,14.8,11.8,9.2,8.6,NA,23,57,86,115,148,177,212,234,262,NA
"K111-P197",21.4,20.1,19.8,18,20,16.3,13.8,13.6,13.8,13.6,23,57,86,115,148,177,212,234,262,304
"K112-P306",28.6,32.8,NA,NA,NA,NA,NA,NA,NA,NA,9,44,NA,NA,NA,NA,NA,NA,NA,NA
"K100-P295",40.2,41.4,41.6,38,33.7,32.7,32.5,27.1,9.6,14.5,16,43,72,107,138,163,198,226,289,317
"K120-P70",24.6,22.2,16.2,16.2,12.2,12,12,10.4,NA,NA,32,94,137,193,228,261,290,314,NA,NA
"K12-P772",42.6,34.6,27.6,24.6,17,NA,NA,NA,NA,NA,56,132,168,214,301,NA,NA,NA,NA,NA
"K105-P151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K110-P609",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K100-P436",37.8,37.8,35.7,40.1,42.4,35.7,32.1,28.1,23.6,NA,21,56,84,112,147,174,203,238,269,NA
"K114-P17",35.5,38.4,37.4,NA,NA,NA,NA,NA,NA,NA,37,100,128,NA,NA,NA,NA,NA,NA,NA
"K111-P20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K120-P20",48.2,29,22.8,20.6,16.6,18.8,17.8,18.4,13.2,11.8,45,101,136,169,198,222,269,304,339,407
"K11-P105",25.1,25.7,23.3,21,19.8,14.9,NA,NA,NA,NA,20,48,79,118,146,174,NA,NA,NA,NA
"K12-P804",40.9,37.6,29.1,29.1,19.7,NA,NA,NA,NA,NA,41,117,153,199,286,NA,NA,NA,NA,NA
"K100-P357",42.6,49.8,44.7,41.8,38.8,37.6,35.3,33.4,32.1,25.6,18,53,80,109,144,175,200,235,263,291
"K116-P114",31.5,36.5,32.9,32.9,30.5,30.2,24.9,25.6,25.3,16,15,48,85,114,139,176,210,244,271,315
"K125-P197",18.5,NA,30.5,26,31.2,29.3,30.8,30.3,25.2,NA,9,39,74,101,120,165,187,221,255,NA
"K124-P433",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K13-P529",23,22.1,19.9,22.1,21.1,NA,NA,NA,NA,NA,42,77,120,152,191,NA,NA,NA,NA,NA
"K11-P136",33,32.2,32.8,32.1,31.3,24.6,24,19.4,21.2,NA,29,63,91,122,161,189,217,245,273,NA
"K123-P327",34.4,36,25.9,27.6,22,20.4,13.6,NA,NA,NA,23,52,92,123,164,198,241,NA,NA,NA
"K111-P151",24.4,21.4,19.6,18.8,16.4,15.8,13.6,12.8,10.9,NA,23,50,84,107,141,170,199,232,261,NA
"K1-P833",31,43.6,49.4,48.2,42.2,40.6,40.8,39.4,23.8,28.4,9,35,77,105,135,167,197,231,273,309
"K13-P447",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K1-P991",32.8,36.6,35,38.8,40.2,32.2,33,26.8,26.6,26.2,6,54,89,113,139,181,209,239,271,301
"K11-P167",27,30,23.6,21.1,16.7,18.4,19,19.5,18.8,19,24,50,81,107,137,165,192,226,254,285
"K105-P146",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K125-P147",39.2,48.7,47.3,42.6,38,35.4,31.5,29.6,28.7,25.2,18,53,80,99,144,166,200,234,263,297
"K112-P253",24.1,31.3,26.4,32.4,27.6,26.8,24.6,21.9,21.4,21.9,9,44,73,109,136,164,199,225,255,288
"K114-P96",26,24.2,36.6,35.5,36.1,32.9,34.1,35.7,31.7,27.2,39,74,109,137,165,200,228,256,291,325
"K12-P1027",31.8,22.3,26.9,25.9,24.1,22.8,22.8,21.8,19.9,NA,81,157,193,239,326,383,445,501,589,NA
"K11-P46",NA,42.8,32.3,32.7,24.8,17.4,21.6,20.5,21.3,23.7,4,30,61,87,117,145,172,206,234,265
"K118-P59",47.8,53.2,38.6,45.3,41,32.3,30.5,23.6,NA,NA,31,66,112,143,172,203,241,286,NA,NA
"K100-P525",10.4,34.4,36.9,42,42.9,36.5,30.9,34.4,26.4,22.9,16,43,72,107,138,163,198,226,254,289
"K115-P6",28,34.4,38,25.2,26.2,24,25,NA,NA,NA,6,34,61,89,118,153,181,NA,NA,NA
"K128-P171",26.8,32.5,55.4,29.6,29.9,26.3,26.7,19.3,21.7,18.1,14,60,77,105,126,168,194,255,286,319
"K119-P12",47.2,49.5,42.7,44.3,40.3,38.7,30,NA,NA,NA,18,52,94,136,166,207,250,NA,NA,NA
"K12-P961",27.9,30,25.2,24.1,22,15.1,NA,NA,NA,NA,31,108,184,220,266,353,NA,NA,NA,NA
"K12-P401",35.9,25.1,15.4,NA,NA,NA,NA,NA,NA,NA,163,237,306,NA,NA,NA,NA,NA,NA,NA
"K10-P172",35.3,44.6,32.1,30.6,32.5,26.7,19.5,20.6,12.6,NA,28,58,91,119,154,182,211,245,273,NA
"K126-P743",44.9,50.4,38.6,48.7,42.8,39.3,27.7,24.9,NA,NA,32,61,89,123,158,180,221,248,NA,NA
"K124-P389",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K105-P93",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K125-P208",38.2,35.8,40.6,39.8,39,39.8,38,32.3,31.8,31,37,59,93,127,156,190,215,244,273,309
"K102-P262",39.6,44.6,35.3,22.7,27.3,24.4,29.1,26.3,24.9,21.6,8,35,65,98,126,155,191,218,246,275
"K116-P60",31.9,37.4,31.9,34.7,28.6,25.6,19.5,16,NA,NA,29,65,100,120,153,190,219,244,NA,NA
"K105-P141",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K111-P110",40,33.2,31.8,30.8,29.8,27,22.2,17.6,19.2,13.4,31,54,88,117,146,179,208,243,265,293
"K126-P836",41.6,58.8,64.5,46.5,48.9,45.8,40.1,NA,NA,NA,10,32,73,100,129,157,192,NA,NA,NA
"K100-P578",36.1,35.5,37.8,40.1,38,32.5,30.4,26.9,26.5,20.2,35,62,91,126,157,182,217,245,273,308
"K126-P833",55.4,53.6,57.5,45.4,49.7,44.6,46.2,38.4,NA,NA,25,54,82,117,145,180,208,243,NA,NA
"K110-P706",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K125-P97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K112-P321",37.4,38.6,45.1,33.7,26.4,21.2,23.3,26.2,26.9,21.6,9,44,73,109,136,164,199,225,255,288
"K115-P108",23,21.8,21,21.6,19,19,18.6,16,16.2,15.2,32,67,95,122,150,179,214,242,270,298
"K12-P436",50,40.3,31.5,29.5,26.8,NA,NA,NA,NA,NA,37,114,190,226,272,NA,NA,NA,NA,NA
"K110-P662",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K108-P117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K104-P385",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K1-P1008",41.8,42.4,35,32.6,27,25,19.4,16.6,15.4,NA,8,58,106,141,165,191,233,261,291,NA
"K11-P82",42.1,37.6,36.8,33.3,33.1,31,26.2,28.5,24.7,27.6,28,67,95,123,151,179,207,236,264,291
"K126-P554",44.1,49.8,63.2,51.2,49.7,41.4,52.5,45,43.6,40.7,11,39,73,108,130,171,198,227,255,290
"K117-P37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K12-P167",19.9,18.5,NA,NA,NA,NA,NA,NA,NA,NA,60,129,NA,NA,NA,NA,NA,NA,NA,NA
"K1-P1056",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K121-P89",36.7,39.2,42,38.8,32.1,37.8,31.6,28.6,22.7,20.1,26,48,77,115,139,170,193,237,268,300
"K130-P595",51.6,60.3,54.4,49.1,47.6,40.7,34.8,26.7,22.4,NA,20,56,95,125,174,201,243,279,306,NA
"K107-P350",22.8,21.9,20.3,20.3,19.6,20.4,18.3,18.8,18.7,14.4,15,45,80,109,142,177,206,240,269,298
"K117-P62",41.5,43,37,42,37.5,34.5,30,31,26.2,25,19,47,75,110,139,174,201,222,264,292
"K126-P643",28.9,37.4,45.8,42,39.7,36.5,31.3,27.4,26,NA,5,46,73,102,130,165,193,228,256,NA
"K122-P92",29.4,31,30.6,22,25.4,28.4,26.8,27.6,23.6,21.8,19,54,81,110,145,173,208,236,264,299
"K1-P764",44.2,42.8,37.6,39,25.2,23.8,18,9.6,NA,NA,24,67,106,156,204,239,263,289,NA,NA
"K118-P146",20.7,24.8,25.2,20.2,23.1,NA,NA,NA,NA,NA,11,59,85,119,158,NA,NA,NA,NA,NA
"K12-P575",27.2,23.2,23.3,15,NA,NA,NA,NA,NA,NA,117,191,260,337,NA,NA,NA,NA,NA,NA
"K12-P276",27.5,18.9,19.4,NA,NA,NA,NA,NA,NA,NA,63,139,175,NA,NA,NA,NA,NA,NA,NA
"K112-P179",35.4,31.1,32,26.4,24.9,21.8,29.8,26.4,22.7,27.9,21,48,76,111,137,167,200,229,257,296
"K104-P354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K111-P146",24.2,31.2,24.2,29,24.4,26,18.8,18.2,16.8,14.2,8,31,65,94,123,156,185,220,242,270
"K10-P113",NA,44.2,45.4,44.3,50.2,42.4,46.6,43.5,42,38.6,2,34,65,93,123,156,184,219,247,276
"K111-P135",25,22.6,20.8,20.4,18,17.6,12.8,14.2,11.2,9.6,17,51,80,109,142,171,206,228,256,298
"K129-P251",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K101-P235",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K118-P152",21.5,35.1,36.6,32.7,33,29.6,29.9,27.6,27.2,21.7,7,41,80,115,161,192,221,252,290,335
